Title,Company,Location,Description,Job Link
"Software Engineer, Web",Calm,"San Francisco, CA","About Calm  Calm is on a mission to support everyone on every step of their mental health journey. With the #1 app for sleep, meditation and relaxation as well as a growing library of digital, evidence-based mental health programs, Calm offers trusted support for individuals and organizations alike. Our flagship consumer app provides personalized content and activities – featuring a range of experts and beloved celebrity voices – to help users manage stress, improve sleep and live mindfully. Our workplace and healthcare solutions offer a consumer-friendly approach to clinical content and HIPAA-compliant resources in order to drive positive health and business outcomes. Named a TIME100 Most Influential Company, Calm supports more than 150 million people and 3,500 organizations across seven languages and 190 countries.  We are hiring remote workers for this role in the San Francisco Bay Area, Los Angeles, New York City, or Minneapolis areas. At this time, only candidates in these locations will be considered.    The Software Engineer is a critical member of the Calm Engineering Team. In this role, you will be responsible for designing, developing, and maintaining the frontend systems that power our web applications. You will work closely with a team of engineers, designers, product managers, and customers to ensure that our products are reliable, performant, and secure. Specifically, you will:                Calm uses a geographic pay model that determines salaries based on the location where an employee lives. For this position, the base pay range across Calm’s pay tiers is as follows: $147,000 - $225,000. The base pay range represents the low and high end of Calm’s salary range for this position. Not all candidates will be eligible for the upper end of the salary range. Exact salary will ultimately depend on multiple factors, which include the successful candidate's geographic location, skills, experience and other qualifications. Calm uses employee zip code to determine which pay range applies. This role is also eligible for equity + comprehensive benefits + 401k + flexible time off.  Please note that Calm may leverage artificial intelligence technology in the application review process.  Calm is committed to providing reasonable accommodations for qualified individuals with disabilities, including disabled veterans. If you require a reasonable accommodation to complete any part of the application or interview process, please contact Calm’s Recruiting team at recruitingaccommodations@calm.com. All accommodation requests will be handled confidentially and assessed on a case-by-case basis.  We believe that mental health is health, and every person should be considered in the discussion. That’s why we’re proud to be an equal opportunity workplace, committed to providing equal employment opportunities to all applicants and employees regardless of race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, medical condition, genetic information, military or veteran status, gender identity or expression, sexual orientation, or any other characteristic protected by applicable federal, state or local law.  Calm is deeply committed to diversity, equity and inclusion. We strive to create a mindful and respectful environment where everyone can bring their authentic self to work, and experience a culture that is free of harassment, racism, and discrimination.  Employment offers are contingent upon the successful completion of a background check. Roles which require access to certain types of information may also require the successful completion of a drug screening.  FOR US BASED POSITIONS: Calm participates in e-verify. E-verify provides the federal government with your Form I-9 information to confirm that you are authorized to work in the U.S.  Show more",https://www.linkedin.com/jobs/view/software-engineer-web-at-calm-4204073560?position=1&pageNum=0&refId=m8rZGI73p788lKBnn9yzjA%3D%3D&trackingId=mHqOTChoXfq5BTsbdsPqJw%3D%3D
Software Engineer (L4) - Cloud Network Engineering,Netflix,United States,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.  The Cloud Network Engineering team’s goal is to create network architectures that can readily evolve with the needs of our product services and initiatives. We achieve this goal by developing tools and services that improve network availability, scale, performance, and security. Our domain ownership is divided into two high-level segments: Cloud Network (network infrastructure) and Host Networking (the network stack). Our goals are to scale streaming services and support our expanded business use cases of Studio, Gaming, and Animation. We deliver on these goals via our mission to evolve, manage, optimize, and scale the network on Netflix’s compute infrastructure.                  Here are a few recent talks and posts from members of the team to highlight the work we do:    Our compensation structure consists solely of an annual salary; we do not have bonuses. You choose each year how much of your compensation you want in salary versus stock options. To determine your personal top-of-market compensation, we rely on market indicators and consider your specific job family, background, skills, and experience to determine your compensation in the market range. The range for this role is $100,000 - $720,000.  Netflix provides comprehensive benefits including Health Plans, Mental Health support, a 401(k) Retirement Plan with employer match, Stock Option Program, Disability Programs, Health Savings and Flexible Spending Accounts, Family-forming benefits, and Life and Serious Injury Benefits. We also offer paid leave of absence programs. Full-time hourly employees accrue 35 days annually for paid time off to be used for vacation, holidays, and sick paid time off. Full-time salaried employees are immediately entitled to flexible time off. See more details about our Benefits here.  Netflix has a unique culture and environment. Learn more here.  Inclusion is a Netflix value and we strive to host a meaningful interview experience for all candidates. If you want an accommodation/adjustment for a disability or any other reason during the hiring process, please send a request to your recruiting partner.  We are an equal-opportunity employer and celebrate diversity, recognizing that diversity builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service.  Job is open for no less than 7 days and will be removed when the position is filled. Show more",https://www.linkedin.com/jobs/view/software-engineer-l4-cloud-network-engineering-at-netflix-4202060410?position=2&pageNum=0&refId=m8rZGI73p788lKBnn9yzjA%3D%3D&trackingId=X%2FAfFUDIdSVL5k7Uq8cxOg%3D%3D
Software Engineer 4 - TV & Web Player Platform,Netflix,United States,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.  The TV & Web Player Platform team is responsible for developing streaming video players that deliver industry-leading playback experiences within the Netflix app on consumer electronic devices and web browsers. Our players operate on millions of devices, including Smart TVs, streaming sticks, game consoles, set-top boxes, and browsers like Chrome, Firefox, and Edge. We aim to delight our members with innovative playback features and exceptional streaming quality.    The TV & Web Player Platform team is at the forefront of testing a diverse set of innovative activities related to product feature expansion. This includes creating tests for recent playback features such as Live Streaming, Seamless Ads playback, and Ident innovation. We conduct A/B tests to thoroughly evaluate features and ensure they perform optimally without regressions. We are deeply involved in continuous integration and release management testing of our video player, which is core to our operations. This critical function ensures the delivery of the best streaming experience to our members by maintaining high standards of quality and performance. Our team collaborates with various cross-functional teams across Netflix, including UI, Encoding, Streaming Algorithms, Security, and Open Connect, to support product development and experimentation through rigorous testing.  Our team consists of engineers from diverse backgrounds, bringing expertise across multiple disciplines, including embedded systems, streaming media playback, content protection, client-server communication, networking protocols, continuous integration, test automation, experimentation, and software engineering. Our success is driven by self-motivated, collaborative, and curious engineers who prioritize the team's goals.    We are seeking a software engineer with a strong focus on test development and automation to join our team. Your primary responsibility will be to improve our video player by developing and automating tests to ensure high-quality streaming experiences on both TV and Web devices. In addition to test development, you will collaborate directly with browser vendors to test and validate browsers using the Netflix player and its features, ensuring a seamless user experience.            Read about the Netflix culture which values freedom and responsibility, enabling us to do our best work.  At Netflix, we carefully consider a wide range of compensation factors to determine your personal top of market. We rely on market indicators to determine compensation and consider your specific job, skills, and experience to get it right. These considerations can cause your compensation to vary and will also be dependent on your location.  The overall market range for roles in this area of Netflix is typically $100,000 - $720,000.  This market range is based on total compensation (vs. only base salary), which is in line with our compensation philosophy. Netflix is a unique culture and environment. Learn more here.  Inclusion is a Netflix value and we strive to host a meaningful interview experience for all candidates. If you want an accommodation/adjustment for a disability or any other reason during the hiring process, please send a request to your recruiting partner.  We are an equal-opportunity employer and celebrate diversity, recognizing that diversity builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service.  Job is open for no less than 7 days and will be removed when the position is filled. Show more",https://www.linkedin.com/jobs/view/software-engineer-4-tv-web-player-platform-at-netflix-4199628396?position=3&pageNum=0&refId=m8rZGI73p788lKBnn9yzjA%3D%3D&trackingId=tZ%2FkPAxJZBFK3GQAUMv9Rw%3D%3D
Software Engineer (L4) - Consumer Engineering,Netflix,United States,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.  At Netflix, we want to entertain the world and are constantly innovating on how entertainment is imagined, created, and delivered to a global audience. We currently stream content in more than 30 languages in 190 countries, topping over 278 million paid subscribers, and are expanding into new forms of entertainment such as gaming. Engineering teams within Netflix work hard every day to scale and innovate this content production and member experience in an ever-growing complex software landscape.  We are looking for distributed systems and software engineers to work on many of our core backend systems that directly impact our API platform, messaging, personalization, sign-up, partnership, payments, and billing systems.  As an engineer in this function, you will be applying your software development skills to solve complex problems with real world impact. You will be learning and contributing to scalable, highly-available, complex distributed systems powering the most sophisticated entertainment service in the world.  Does this sound like something you’d like to do? Awesome, let’s talk specifics.      Our compensation structure consists solely of an annual salary; we do not have bonuses. You choose each year how much of your compensation you want in salary versus stock options. To determine your personal top of market compensation, we rely on market indicators and consider your specific job family, background, skills, and experience to determine your compensation in the market range. The range for this role is $100,000 - $720,000.  Netflix provides comprehensive benefits including Health Plans, Mental Health support, a 401(k) Retirement Plan with employer match, Stock Option Program, Disability Programs, Health Savings and Flexible Spending Accounts, Family-forming benefits, and Life and Serious Injury Benefits. We also offer paid leave of absence programs. Full-time hourly employees accrue 35 days annually for paid time off to be used for vacation, holidays, and sick paid time off. Full-time salaried employees are immediately entitled to flexible time off.  Netflix is a unique culture and environment. Learn more here.  Inclusion is a Netflix value and we strive to host a meaningful interview experience for all candidates. If you want an accommodation/adjustment for a disability or any other reason during the hiring process, please send a request to your recruiting partner.  We are an equal-opportunity employer and celebrate diversity, recognizing that diversity builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service.  Job is open for no less than 7 days and will be removed when the position is filled. Show more",https://www.linkedin.com/jobs/view/software-engineer-l4-consumer-engineering-at-netflix-4208343571?position=4&pageNum=0&refId=m8rZGI73p788lKBnn9yzjA%3D%3D&trackingId=el5oceSf7OJRUgGfneHd0A%3D%3D
Software Engineer 5 - Web Discovery,Netflix,United States,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.  The Streaming and Discovery Experiences Engineering organization continuously improves the Netflix experience to delight, attract, and retain our members. We’re responsible for much of what our members interact with when they use Netflix - from our streaming algorithms to our client and server playback systems to the UI our members use daily to find their next favorite Netflix title.    The Web Discovery team is dedicated to delivering a fantastic experience to our members across the globe who are discovering and enjoying content on Netflix.com. The team is focused on building high-priority product features, as well as crafting solid technical foundations in close collaboration with our partners. We accelerate innovation in order to enable our team and other product teams to deliver rich, performant, reliable, accessible, and high quality member experiences across several strategic areas that are critical to the business.  We celebrate diversity of identities, ideas, backgrounds, and experiences. We believe our best work stems from fostering safety & trust and enabling each of us to be our authentic selves. We selflessly use our unique strengths to support one another and help each other grow.  We have a distributed team with teammates across the US. While some of us are in person, the team is committed to ensuring remote work is a collaborative and productive experience for everyone, regardless of where you commit code.                  At Netflix, we carefully consider a wide range of compensation factors to determine your personal top of market. We rely on market indicators to determine compensation and consider your specific job, skills, and experience to get it right. These considerations can cause your compensation to vary and will also be dependent on your location.  The overall market range for roles in this area of Netflix is typically $100,000 - $720,000.  This market range is based on total compensation (vs. only base salary), which is in line with our compensation philosophy. Netflix is a unique culture and environment. Learn more here.  Inclusion is a Netflix value and we strive to host a meaningful interview experience for all candidates. If you want an accommodation/adjustment for a disability or any other reason during the hiring process, please send a request to your recruiting partner.  We are an equal-opportunity employer and celebrate diversity, recognizing that diversity builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service.  Job is open for no less than 7 days and will be removed when the position is filled. Show more",https://www.linkedin.com/jobs/view/software-engineer-5-web-discovery-at-netflix-4202434314?position=5&pageNum=0&refId=m8rZGI73p788lKBnn9yzjA%3D%3D&trackingId=25xBGZKSqmEn3cJThMzKNQ%3D%3D
Software Engineer - Web,Plaid,United States,"We believe that the way people interact with their finances will drastically improve in the next few years. We’re dedicated to empowering this transformation by building the tools and experiences that thousands of developers use to create their own products. Plaid powers the tools millions of people rely on to live a healthier financial life. We work with thousands of companies like Venmo, SoFi, several of the Fortune 500, and many of the largest banks to make it easy for people to connect their financial accounts to the apps and services they want to use. Plaid’s network covers 12,000 financial institutions across the US, Canada, UK and Europe. Founded in 2013, the company is headquartered in San Francisco with offices in New York, Washington D.C., London and Amsterdam.  The Web team at Plaid is a highly cross-functional group across Engineering, Product, Design, and Marketing that is responsible for developing and maintaining our website, which is central to our brand and Growth strategies. We are embarking on an exciting journey to reimagine our site and transform how we connect with customers, showcase our products, and communicate our story. The transformation is happening at all levels as we re-evaluate both the technical platform and customer experience we’ve built .  As an engineer on our Web team, you’ll play a central role in reshaping our brand with deeply engaging, interactive and impactful web pages. You’ll have the opportunity to lead development on full pages and contribute to more templatized pages that are published via our CMS. You’ll achieve this alongside a team of engineers who value impact, user delight, and quality.          $124,032 - $223,200 a year  The target base salary for this position ranges from $124,032/year to $223,200/year encompassing all Zones. The target base salary will vary based on the job's location.    Zone 1 - New York City and San Francisco Bay Area  Zone 2 - Los Angeles, Seattle, Washington D.C.  Zone 3 - Austin, Boston, Denver, Houston, Portland, Sacramento, San Diego  Zone 4 - Raleigh-Durham and all other US cities  Additional compensation in the form(s) of equity and/or commission are dependent on the position offered. Plaid provides a comprehensive benefit plan, including medical, dental, vision, and 401(k). Pay is based on factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience and skillset, and location. Pay and benefits are subject to change at any time, consistent with the terms of any applicable compensation or benefit plans.  Our mission at Plaid is to unlock financial freedom for everyone. To support that mission, we seek to build a diverse team of driven individuals who care deeply about making the financial ecosystem more equitable. We recognize that strong qualifications can come from both prior work experiences and lived experiences. We encourage you to apply to a role even if your experience doesn't fully match the job description. We are always looking for team members that will bring something unique to Plaid!  Plaid is proud to be an equal opportunity employer and values diversity at our company. We do not discriminate based on race, color, national origin, ethnicity, religion or religious belief, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, military or veteran status, disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state, and local laws. Plaid is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance with your application or interviews due to a disability, please let us know at accommodations@plaid.com.  Please review our Candidate Privacy Notice here . Show more",https://www.linkedin.com/jobs/view/software-engineer-web-at-plaid-4204412238?position=6&pageNum=0&refId=m8rZGI73p788lKBnn9yzjA%3D%3D&trackingId=ckNuencm2O32s%2BwNItjXCQ%3D%3D
Systems Software Engineer L4,Netflix,United States,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.  is a critical group within Netflix that builds and manages a content delivery network (CDN) that delivers all of Netflix’s streaming video. In addition to streaming video, we work on projects within Netflix that leverage physical infrastructure, such as our Cloud Games initiative. According to a 2023 Sandvine report, data delivered by Open Connect accounts for approximately 15% of all downstream traffic volume across the entire internet. All of this traffic is delivered by our edge cache servers.  A small team of talented software engineers develop and maintain the operating system that runs the content caches and the cloud gaming platform. Because of the important role of these servers, it is critical that they be both efficient and secure.    We are looking for a highly motivated Systems Software Engineer to enhance and maintain the edge server appliances used for cloud gaming and streaming video. In this role, you will have the opportunity to:    This role offers a chance to make a significant impact on a critical area of business. We provide the freedom to execute, learn and pivot, and the responsibility to be self directed, collaborative and insightful. You can read more about Netflix culture.              Be sure to review our culture page to learn more about the unique Netflix culture and the opportunity to be part of our team.  Our compensation structure consists solely of an annual salary; we do not have bonuses. You choose each year how much of your compensation you want in salary versus stock options. To determine your personal top-of-market compensation, we rely on market indicators and consider your specific job family, background, skills, and experience to determine your compensation in the market range. The range for this role is $100,000 - $620,000.  Netflix provides comprehensive benefits including Health Plans, Mental Health support, a 401(k) Retirement Plan with employer match, Stock Option Program, Disability Programs, Health Savings and Flexible Spending Accounts, Family-forming benefits, and Life and Serious Injury Benefits. We also offer paid leave of absence programs. Full-time hourly employees accrue 35 days annually for paid time off to be used for vacation, holidays, and sick paid time off. Full-time salaried employees are immediately entitled to flexible time off. See more details about our Benefits here.  Inclusion is a Netflix value and we strive to host a meaningful interview experience for all candidates. If you want an accommodation/adjustment for a disability or any other reason during the hiring process, please send a request to your recruiting partner.  We are an equal-opportunity employer and celebrate diversity, recognizing that diversity builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service.  Job is open for no less than 7 days and will be removed when the position is filled. Show more",https://www.linkedin.com/jobs/view/systems-software-engineer-l4-at-netflix-4202434316?position=7&pageNum=0&refId=m8rZGI73p788lKBnn9yzjA%3D%3D&trackingId=I8PawLPGCXN7UXxUYJYoKw%3D%3D
Software Engineer,Twitch,"Seattle, WA","About Us  Twitch is the world’s biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It is where thousands of communities come together for whatever, every day.  We’re about community, inside and out. You’ll find coworkers who are eager to team up, collaborate, and smash (or elegantly solve) problems together. We’re on a quest to empower live communities, so if this sounds good to you, see what we’re up to on LinkedIn and X, and discover the projects we’re solving on our Blog. Be sure to explore our Interviewing Guide to learn how to ace our interview process.    Twitch is building the future of interactive entertainment. The Data Platform team develops and operates the data platform that powers data systems and decision-making. Our data pipeline receives over 200 billion events a day, and we forward live data to tens of systems as well as powering decisions at all levels of Twitch. We provide tools to store, transform, move, and understand data.  As a software engineer on Data Platform, you will deliver the next generation of Twitch data technology. Using Go and Python, you will build tools which are reliable and scale. You’ll review and shape the work of your peers, and participate in a collaborative engineering team.                          Job ID: TW8787    US Pay Per Year  $99,500—$200,000 USD    Show more",https://www.linkedin.com/jobs/view/software-engineer-at-twitch-4205287580?position=8&pageNum=0&refId=m8rZGI73p788lKBnn9yzjA%3D%3D&trackingId=YXV6xVa6wrx%2FBxBEjdLBpQ%3D%3D
"Software Engineer, JAX External",Google,"San Francisco, CA","Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Mountain View, CA, USA; San Francisco, CA, USA.Minimum qualifications:  Bachelor’s degree or equivalent practical experience.         Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.  With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.  In this role, you will build open-source infrastructure for cutting-edge ML on a small, high-agency team. You'll collaborate closely with engineers across the JAX, XLA, and other adjacent teams, and have the freedom to pursue impactful projects while advocating open-source software and engaging directly with the ML community.  Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.  The US base salary range for this full-time position is $141,000-$202,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.  Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google .       Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form . Show more",https://www.linkedin.com/jobs/view/software-engineer-jax-external-at-google-4201701163?position=9&pageNum=0&refId=m8rZGI73p788lKBnn9yzjA%3D%3D&trackingId=b4yK4SYDZfPZQGrGR0BH5A%3D%3D
Software Engineer,Nike,"Beaverton, OR","Software Engineer - Nike Inc.- Beaverton, OR. Develop digital products that meets the consumer needs as defined by product managers while also aligning with architectural standards; Code, configure and test programs/systems, and solution problems to meet defined digital product specifications; Program well-designed, testable, efficient code and analyze end-user needs; Develop solutions to any issues based on end-user analysis. Practice source control and version management and solve technical problems/debugs by recommending changes or improvements; Collaborate within the team to adhere to development standards; Ensure the high quality of all work through the creation and execution of tech plans; communicate effectively with both technical and business partners regarding programs, systems, and updates; design and build scalable software solutions, implement, and integrate new technologies, manage, and evolve existing platforms; maintain high availability of systems to business users; train business users on application functionalities and new features implemented; perform system admin activities; and maintain functional and technical documentations. Telecommuting is available from anywhere in the U.S., except from AK, AL, AR, DE, HI, IA, ID, IN, KS, KY, LA, MT, ND, NE, NH, NM, NV, OH, OK, RI, SD, VT, WV, and WY  Must Have a Bachelor’s Degree In Computer Science Or Information Systems And 5 Years Of Experience In The Job Offered Or In a Computer-related Occupation. Experience Must Include    OR  Must have No degree and 7 years of experience in a computer-related occupation. Experience must include:    Apply at www.Nike.com/Careers (Job# R-59027)  DNI  We offer a number of accommodations to complete our interview process including screen readers, sign language interpreters, accessible and single location for in-person interviews, closed captioning, and other reasonable modifications as needed. If you discover, as you navigate our application process, that you need assistance or an accommodation due to a disability, please complete the Candidate Accommodation Request Form. Show more",https://www.linkedin.com/jobs/view/software-engineer-at-nike-4210920486?position=10&pageNum=0&refId=m8rZGI73p788lKBnn9yzjA%3D%3D&trackingId=s2QXGHeTURAj3B5GpVl83A%3D%3D
